episode,reward
0,-4.422596937768999
1,-8.736984658883788
2,-4.8297971851429065
3,-7.3308969070221774
4,-1.8561273194608123
5,-4.556161511562777
6,-8.64474588192133
7,-8.069664089177902
8,-9.2923619566157
9,-6.988216214214012
10,-7.251133816700115
11,-8.478941409912226
12,-9.62948310074296
13,-8.635624294194383
14,-6.696687848916577
15,-8.26637549245243
16,-9.619103966024865
17,-8.871256750528918
18,-6.310192187531671
19,-8.40382538795332
20,-8.265424040147614
21,-7.180795087161518
22,-4.520069242179485
23,-8.487608248467616
24,-7.314152356570059
25,-7.21397544123494
26,-4.842436686396349
27,-9.390214268355043
28,-8.33893917715954
29,-8.379513418004613
30,33.48502194547098
31,-2.948495791667747
32,-2.431117887474148
33,-5.975130128045498
34,-3.789596616806259
35,-0.9077727798657538
36,-5.361626367843932
37,-5.307217335127643
38,-5.211774593926592
39,-3.0804442066276625
40,-4.395954129206469
41,-4.780696560377251
42,-7.730451334685221
43,-8.904475000061135
44,-6.038146745999995
45,-6.370263200672669
46,-8.333186246467662
47,-3.841783650425461
48,-5.43453702775267
49,-6.000164390193343
50,-7.263697575116513
51,-7.481293701312429
52,-6.750393373485506
53,0.0176819450921339
54,-6.8835203737204775
55,-7.391601084625488
56,-6.986211472553858
57,-8.50627224394809
58,-4.448458316176282
59,-0.8104121614384887
60,-4.101812083788158
61,-6.409424397841179
62,-6.097784288580178
63,-7.690251043025831
64,-6.004868489566613
65,-1.227655342432147
66,-5.051865289919471
67,-6.97823668633792
68,-8.24943154373154
69,-5.880051724437514
70,-7.397541327594204
71,-8.284503524917579
72,-9.355846902976346
73,-8.362504117140132
74,-7.00011625018344
75,-6.474255575214274
76,-7.523138481909104
77,-5.278869640411843
78,-7.734506780529515
79,36.95507135742528
80,-4.241184351645485
81,-6.647632341588234
82,-2.851749478748559
83,-7.94846606428779
84,-5.760136009855554
85,0.1214590123659
86,-7.852955716848747
87,-6.127609877161616
88,-2.300411072654753
89,-4.8668596512155045
90,-5.860863637233847
91,-6.963267950844767
92,-2.449081858519964
93,-7.635395672881476
94,-7.27550512888206
95,-2.843220807200064
96,-7.020028892087082
97,-7.087546334069383
98,-4.281867918587332
99,-5.508209815855095
100,0.1410083339597179
101,-7.989515335079842
102,-5.990959753672036
103,-5.916530062064444
104,-4.124950169552979
105,-5.312837578400372
106,-2.9626591149095205
107,33.73070854310406
108,-1.999854803346219
109,-2.785886878635088
110,-6.844092683660047
111,-6.114224534341011
112,-1.3489047808954453
113,-7.262445400840425
114,-2.312392870062344
115,-5.9460910099991775
116,-3.706542380660792
117,-3.2107621540058044
118,-2.100856704472558
119,5.881037364199175
120,-0.0137327054769471
121,-1.2239426216103748
122,-4.971343058128424
123,38.75227409278766
124,0.4955941238343904
125,-5.494151985285764
126,-0.6363213270578996
127,7.758222516967798
128,-1.560467682499702
129,0.814785744047013
130,3.441896587105777
131,-5.713738153552717
132,3.440253158428341
133,37.86979451216138
134,-2.737627661277621
135,-4.040283023675425
136,2.11441794279094
137,-2.3024798515426923
138,-3.220834924169586
139,-4.781032933302108
140,-3.458650042221881
141,1.054958260882131
142,-3.0061700356377
143,-4.942062254386975
144,-6.943798126194176
145,-8.685861756418722
146,-2.701891946428733
147,0.1838165044390116
148,-3.0582296831622706
149,-4.691052123762224
150,-3.8858597261954175
151,-8.730600050115623
152,-0.8394641827600609
153,-8.65135427762716
154,-8.42242646488333
155,-5.581657098442484
156,-3.0541324185188348
157,-5.551373099810164
158,-4.8025068675632525
159,-3.854418642421349
160,-6.308615957259548
161,-5.943157468243169
162,-3.765575787981965
163,-6.450795320133741
164,-8.02548682139224
165,-3.622504472988373
166,-6.14923081399117
167,-4.774361487355675
168,-7.545603777343296
169,-6.362877120222443
170,-6.364226935591979
171,-5.688787412338056
172,-4.899241586376486
173,-4.081043291180642
174,-4.260933439732687
175,-5.182303801445278
176,-4.581165320679931
177,-2.417526088963612
178,-7.373102365992119
179,-4.168093570455126
180,-9.347193016809896
181,-3.7828526370391096
182,-8.74614391370635
183,-6.677276090365364
184,1.5261904008158034
185,-5.4669494450093445
186,-4.1405160434254
187,-7.264762808271071
188,-7.354631634064759
189,-6.243512619161329
190,-6.538143771839943
191,-8.488750663381467
192,37.32806840812288
193,-6.432789462984431
194,-5.703077363870064
195,-4.111697940862042
196,2.1745721840208887
197,-4.790857242495611
198,-5.435613324479453
199,-2.7009193215744665
200,-0.930938704648014
201,-1.8441988531954607
202,44.2220306110546
203,-3.765125392504999
204,-1.3841067600381365
205,3.1762507870347108
206,3.61636176527697
207,-2.64252155540766
208,3.465176216481222
209,-1.8430390177205125
210,-5.166041259521879
211,-5.701380027439228
212,-1.740065559063071
213,2.399503325784792
214,-5.371000589885282
215,-4.880428632786964
216,-2.6422083155613354
217,41.09804775873111
218,-4.22994321827143
219,-5.247872822672504
220,4.680014806785824
221,-3.171552702713294
222,-1.534228037552774
223,38.66786355833648
224,-1.2002106130153043
225,-5.527878609874745
226,-4.471933957439106
227,-7.248216575595606
228,-7.141805138980795
229,-5.161311492375184
